Country,Admin 1,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2007,01,75,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2007,02,87.5,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2007,03,82.5,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2007,04,82.5,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2007,05,91.5,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2007,06,95,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2007,07,88.75,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2007,08,96.25,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2007,09,103.75,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2007,10,107.5,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2007,11,75,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2007,12,70,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2008,01,97.5,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2008,02,100,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2008,03,111.25,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2008,04,122.5,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2008,05,137.5,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2008,06,163.75,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2008,07,170.5,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2008,08,175,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2008,09,88.75,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2008,10,,KG,XOF,""
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2008,11,200,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2008,12,150,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2009,01,125,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2009,02,135,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2009,03,135,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2009,04,135,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2009,05,140,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2009,06,140,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2009,07,140,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2009,08,140,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2009,09,140,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2009,10,100,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2009,11,87.5,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2009,12,87.5,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2010,01,120,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2010,02,120,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2010,03,125,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2010,04,125,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2010,05,140,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2010,06,140,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2010,07,140,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2010,08,140,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2010,09,135,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2010,10,120,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2010,11,120,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2010,12,110,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2011,01,125,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2011,02,117.5,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2011,03,150,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2011,04,137.5,KG,XOF,"WFP"
"Côte d'Ivoire","Denguele","Odienne","Maize","Retail",2011,05,,KG,XOF,""
