Country,Admin 1,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2006,01,25.4,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2006,02,21.75,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2006,03,21.21,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2006,04,20.88,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2006,05,22,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2006,06,26.7,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2006,07,23.93,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2006,08,25.4,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2006,09,14.82,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2006,10,12.5,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2006,11,16.74,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2006,12,19.6,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2007,01,21.17,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2007,02,22.53,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2007,03,23.4,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2007,04,27.68,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2007,05,26.93,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2007,06,25.6,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2007,07,27.25,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2007,08,27.9,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2007,09,29.3,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2007,10,21.7,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2007,11,26,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2007,12,23.5,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2008,01,25,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2008,02,27.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2008,03,33.16,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2008,04,39.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2008,05,52,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2008,06,51.3,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2008,07,79.3,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2008,08,85,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2008,09,44.35,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2008,10,38.55,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2008,11,42.2,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2008,12,38,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2009,01,44.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2009,02,51.25,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2009,03,55.75,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2009,04,58,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2009,05,69.6,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2009,06,67,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2009,07,67.25,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2009,08,67.6,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2009,09,38,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2009,10,48,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2009,11,58.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2009,12,58.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2010,01,52.4,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2010,02,49,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2010,03,47.25,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2010,04,38,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2010,05,43.6,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2010,06,48.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2010,07,50,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2010,08,39,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2010,09,35.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2010,10,29.8,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2010,11,36,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2010,12,42.25,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2011,01,43.8,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2011,02,38.2,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2011,03,50,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2011,04,50,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2011,05,50,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2011,06,81,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2011,07,83,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2011,08,83,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2011,09,85.75,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2011,10,77,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2011,11,67,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2011,12,101,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2012,01,100,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2012,02,100,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2012,03,103,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2012,04,101.25,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2012,05,122.75,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2012,06,131.2,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2012,07,120,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2012,08,110,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2012,09,86.25,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2012,10,70,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2012,11,77.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2012,12,78,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2013,01,78.75,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2013,02,78.75,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2013,03,78.25,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2013,04,81,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2013,05,83.75,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2013,06,76,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2013,07,73,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2013,08,79,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2013,09,71.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2013,10,70,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2013,11,74.25,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2013,12,78.75,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2014,01,88,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2014,02,95.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2014,03,96,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2014,04,95.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2014,05,102,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2014,06,108.75,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2014,07,108.75,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2014,08,140,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2014,09,136,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2014,10,136,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2014,11,126.25,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2014,12,125,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2015,01,125,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2015,02,125,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2015,03,121.25,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2015,04,122.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2015,05,134,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2015,06,142.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2015,07,151.25,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2015,08,166,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2015,09,165,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2015,10,144,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2015,11,145,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2015,12,145,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2016,01,141,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2016,02,142.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2016,03,145,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2016,04,148,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2016,05,151.25,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2016,06,168.75,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2016,07,175,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2016,08,157.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2016,09,147,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2016,10,134.4,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2016,11,77.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2016,12,124,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2017,01,126.5,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2017,02,130,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2017,03,125,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2017,04,115,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2017,05,140,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2017,06,160,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2017,07,200,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2017,08,167.22,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2017,09,152,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2017,10,153.3333,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2017,11,110,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2017,12,116,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2018,01,116.01,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2018,02,150,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2018,03,158.1667,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2018,04,147.5629,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2018,05,147.56,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2018,06,147.25,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2018,07,147.25,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2018,08,147.56,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2018,09,216.37,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2018,10,216.3658,100 KG,GHS,"MOFA"
"Ghana","ASHANTI","Kumasi","Maize","Wholesale",2018,11,216.37,100 KG,GHS," SRID (MOFA) via FAO: GIEWS/FPMA;Marketing Services Unit"
